Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in Original language,Description in English,Website,Operating result [=EBIT] mEUR 2021,Operating result [=EBIT] mEUR 2020,Operating result [=EBIT] mEUR 2019,Turnover mEUR 2021,Turnover mEUR 2020,Turnover mEUR 2019,Availability of financial data,2 years of consecutive losses,Average loss over 3 years,Additional Websites,Meta Title,Meta Description,Meta Keywords,Additional Meta Title,Additional Meta Description,Additional Meta Keywords,Translated Meta Title,Translated Meta Description,Translated Additional Meta Title,Translated Additional Meta Description
RETAIL DISTRIBUTION CONCEPTS,BE,Belgique,BRUXELLES,MARGUERITE BERVOETSSTRAAT 94,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,,Engaged in the retail sale of footwear [source: Bureau van Dijk],www.retail-distribution.info,-3,-5,-1,45,35,50,YES,YES,,www.mano.be/fr/?doing_wp_cron=1626471572.3307049274444580078125,"Retail-distribution by Frank Rosenthal - Prolonger la réflexion de mes 9 livres ""Value for money""; ""Image-Prix Mode d'emploi"",""Mieux piloter sa relation-client"", ""Le Retail aux Etats-Unis"",""Les incontournables du commerce de demain"" ,""Booster le commerce"", ""Donner du sens au commerce"",  ""Inspirer le commerce"" et ""Mutations du commerce post-covid""
Prendre du recul et s'interroger sur l'actualité de la distribution, du commerce et de la consommation.
Parmi plus de 3500 articles de ce blog qui existe depuis 2008 : des benchmarks internationaux et français,  plus de 100 villes, plus de 20 pays, plus de 3000 visites magasins réelles et effectuées. Je ne parle ici que des magasins que j'ai visités REELLEMENT et non virtuellement","Prolonger la r&eacute;flexion de mes 9 livres &quot;Value for money&quot;; &quot;Image-Prix Mode d'emploi&quot;,&quot;Mieux piloter sa relation-client&quot;, &quot;Le Retail aux Etats-Unis&quot;,&quot;Les incontournables du commerce de demain&quot; ,&quot;Booster le commerce&quot;, &quot;Donner du sens au commerce&quot;,  &quot;Inspirer le commerce&quot; et &quot;Mutations du commerce post-covid&quot;
Prendre du recul et s'interroger sur l'actualit&eacute; de la distribution, du commerce et de la consommation.
Parmi plus de 3500 articles de ce blog qui existe depuis 2008 : des benchmarks internationaux et fran&ccedil;ais,  plus de 100 villes, plus de 20 pays, plus de 3000 visites magasins r&eacute;elles et effectu&eacute;es. Je ne parle ici que des magasins que j'ai visit&eacute;s REELLEMENT et non virtuellement",,404 Page introuvable,,,"Retail -distribution by Frank Rosenthal - extend the reflection of my 9 books ""Value for Money""; ""Image-Prix Instructions for use"", ""Better control your client relationship"", ""Retail in the United States"", ""The essentials of the trade of tomorrow"", ""Boost trade"", ""give meaning to trade"" , ""Inspire trade"" and ""Post-Covid Trade Mutations""
Take a step back and question the news of distribution, trade and consumption.
Among more than 3,500 articles in this blog that has existed since 2008: international and French benchmarks, more than 100 cities, more than 20 countries, more than 3000 real and carried out store visits. I only talk about stores here that I really visited and not virtually","Extend the flexion of my 9 books & quot; value for money & quot ;; & quot; Image-Prix user manual & quot;, & quot; Better control your client relationship & quot;, & quot; retail in the United States & quot ;, & quot; the essentials of the trade of tomorrow & quot; , & quot; boost trade & quot;, & quot; give meaning to trade & quot;, & quot; Inspire trade & quot; and & quot; changes in post-COVIVE trade & quot;
Take a step back and wonder about the news & eacute; distribution, trade and consumption.
Among more than 3,500 articles in this blog that has existed since 2008: international benchmarks and French, more than 100 cities, more than 20 countries, more than 3000 visits to the R & Eacute; I only speak here of the stores that I have visited really and not virtually",404 page not found,
SZINGA-SPORT KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and footwear products,Retail,,Engaged in the retail sale of clothing and footwear products [source: Bureau van Dijk],www.playersroom.hu,1,0,3,45,36,53,YES,NO,NO,sportfactory.hu,Playersroom | Playersroom Magyarország legnagyobb sportcipő üzlethálózata,,,"Sportfactory | SPORTFACTORY.HU - Mozogj többet, költs kevesebbet!",,,Playersroom Playersroom in Hungary's largest sneakers business network,,"Sport Factory SportFactory.hu - Move more, spend less!",
KOTON TEXTILE LLC,RU,Fédération de Russie,MOSCOW,"NAB. NOVODANILOVSKAYA D. 6, K. 1, POM.XXIX KOM. 4",4771,Commerce de détail d'habillement en magasin spécialisé,Retail sale of clothing,Retail,????????? ???????? ??????? ? ???? ????????? Koton,Retail trade with clothing in Koton retail chain,textile.ru,-1,-3,-1,45,33,66,YES,YES,,,,,,,,,,,,
VERTIKALNOE INTEGRIROVANIE,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,???? ??????? ????? ? ??????????? TERVOLINA,Engaged in the retail sale of footwear [source: Bureau van Dijk],www.tervolina.ru,1,2,3,39,35,72,YES,NO,NO,,,,,,,,,,,
LUX TRADE LIMITED LIABILITY COMPANY,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale distribution of clothing, footwear and other fashion accessories",Wholesale,"??????? ???????? ??????? ??????? ? ?????? ??? ???????? Gulliver, Gulliver Baby ? Button Blue.","Wholesale of kids apparel and shoes under trade marks Gulliver, Gulliver Baby and Button Blue.",gulliver-wear.com,5,3,6,38,31,47,YES,NO,NO,"wokster-light.ru
www.gulliver.ru/brands/gulliver",Home page,,,,,,Home page,,,
CROCKID LIMITED TRADE DEVELOPMENT,RU,Fédération de Russie,PERM,"UL. YAKHTENNAYA D. 24, K. 2 LIT. A, POMESHCH. 54-N, POMESHCH. 1",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,??????? ??????,children's wear.,crockid.ru,7,3,3,36,19,19,YES,NO,NO,,"Интернет-магазин детской одежды Crockid в городе Санкт-Петербург  – купить по выгодной цене с доставкой, официальный сайт производителя",Купить детскую одежду в городе Санкт-Петербург на официальном сайте производителя Crockid. Каталог одежды для ребенка по выгодным ценам! Доставка по всей России. Гарантия! Более 90 магазинов по всей стране.,"Санкт-Петербург, детская одежда, Crockid, Крокид, купить, интернет-магазин, официальный сайт, производитель, каталог, доставка по России, недорого",,,,"Online store of children's clothing Crockid in the city of St. Petersburg-buy at a favorable price with delivery, the official website of the manufacturer",Buy children's clothes in the city of St. Petersburg on the official website of the manufacturer Crockid. Clothing catalog for a child at competitive prices! Delivery throughout Russia. Guarantee! More than 90 stores across the country.,,
"DEICHMANN TRGOVINA OBUCOM, D.O.O.",HR,Croatie,ZAGREB,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear for men and women,Retail,kupnja i prodaja robe;obavljanje trgova?kog posredovanja na doma?em i inozemnom tritu;zastupanje stranih tvrtki,"buying and selling goods;mediation on foreign and domestic market;Brands: Elefanten, AM Shoes, Gallus",www.deichmann.hr,5,2,5,35,29,37,YES,NO,NO,www.deichmann.com,,,,Vente chaussures sur le magasin en ligne | DEICHMANN,"Découvrez chaussures pour femmes, hommes et enfants à petits prix sur le magasin en ligne DEICHMANN. Grand choix ✓ Grandes marques ✓ Commandez dès aujourd'hui!",,,,Sale shoes on the online store | Deichmann,"Discover shoes for women, men and children at low prices on the online store Deichmann. Large choice ✓ Large brands ✓ Order today!"
OFFPRAIS,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,???????? ???????,Sale of clothes,www.offprice.eu,4,2,4,34,23,33,YES,NO,NO,,"Аутлет OFFPRICE — официальный сайт | Магазины «ОФФПРАЙС» в Москве, Мытищах","Аутлеты OFFPRICE — сеть магазинов для умного шоппинга. Наш каталог содержит более 1000 брендов одежды и обуви со скидками от 40 до 85 % круглый год! Ищите свои сокровища, выбирайте, покупайте и сочетайте, как вам хочется. Охотьтесь за брендами здесь!",аутлет offprice оффпрайс off price офф прайс сеть магазинов официальный сайт каталог товаров адреса на карте в москве свиблово на лубянке савеловская комсомольская теплый стан технопарк,,,,"OffPrice outlet - official website | Stores ""Offrais"" in Moscow, Mytishchi","OffPrice outlets - a chain of smart shopping stores. Our catalog contains more than 1000 brands of clothing and shoes with discounts from 40 to 85 % all year round! Look for your treasures, choose, buy and combine how you want. Hunt for brands here!",,
VALTER FRANCO RICCI SOCIETA' PER AZIONI SIGLABILE IN VALTER FRANCO RICCI S.P.A.,IT,Italie,ALESSANDRIA,CORSO ROMA 144,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of jewelry products,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the retail sale of jewelry products [source: Bureau van Dijk],www.astrua.com,3,2,2,33,26,30,YES,NO,NO,,Attention Required! | Cloudflare,,,,,,Attention Required! | Cloudflare,,,
OKAIDI BELGIUM,BE,Belgique,FROYENNES,,4641,Commerce de gros de textiles,Engaged in the retail sale of infant and children's wear,Retail,,Engaged in the retail sale of infant and children's wear [source: Bureau van Dijk],nl.okaidi.be,1,-2,0,32,23,30,YES,NO,NO,fr.okaidi.be,,,,,,,,,,
UAB ARMITANA,LT,Lituanie,VILNIAUS M.,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of clothing apparels and footwear for men and women,Retail,,Engaged in the retail sale of clothing apparels and footwear for men and women [source: Bureau van Dijk],www.armitana.lt,3,1,1,32,23,27,YES,NO,NO,,,,,,,,,,,
DIANITA STRUMICA DOOEL,MK,Macédoine du Nord,STRUMICA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],,2,1,1,32,61,8,YES,NO,NO,,,,,,,,,,,
LAGRANGE 12 S.R.L.,IT,Italie,BRESCIA,VIA CODIGNOLE 45,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of clothing, shoes and accessories",Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,"Engaged in the retail sale of clothing, shoes and accessories [source: Bureau van Dijk]",www.lagrange12.it,1,0,0,32,28,27,YES,NO,NO,,www.lagrange12.it,,,,,,www.lagrange12.it,,,
"GAP RETAIL, A LIMITED LIABILITY COMPANY",RU,Fédération de Russie,MOSCOW,"PL. PAVELETSKAYA D. 2, STR. 2, POMESHCH. I KOMN 40-41 ET 1",4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing and apparel store,Retail,,Operates as a clothing and apparel store [source: Bureau van Dijk],marks-and-spencer.ru,6,1,2,32,21,31,YES,NO,NO,,,,,,,,,,,
MASS SHOES D.O.O.,HR,Croatie,KLANJEC,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Primarily engaged in the retail distribution of footwear and leather goods for men, women and children",Retail,"Trgovina obu?om;Note COVID-19:;The company's business operations are directly / indirectly affected by the consequences of official measures and recommendations to reduce the risk of corona infections. The Croatian Government proposed a set of measures to mitigate the effects of the special circumstances caused by the coronavirus epidemic. Employment protection measures:;-Croatian Employment Fund (CEF) is providing grants to support job preservation in COVID 19 affected sectors;Tax measures:;-Employers utilizing the grant provided by CEF to support job preservation are exempted from paying contributions on supported net salaries ;-Possibility to defer payment of VAT until issued invoices are settled. -Taxpayers whose business activities are during special circumstances banned, disabled or significantly impeded by decisions of the competent authority may be fully or partially exempted from paying their tax obligations ;The subject has received: ;- HRK 541.125,00 for 167 employees as support for salaries in March 2020;- HRK 666.000,00 for 167 employees as support for salaries in April 2020;- HRK 666.000,00 for 167 employees as support for salaries in May 2020;from Croatian Employment Fund (CEF). Further development remains to be seen.","Trgovina obucom;Note COVID-19:;The company's business operations are directly / indirectly affected by the consequences of official measures and recommendations to reduce the risk of corona infections. The Croatian Government proposed a set of measures to mitigate the effects of the special circumstances caused by the coronavirus epidemic. Employment protection measures:;-Croatian Employment Fund (CEF) is providing grants to support job preservation in COVID 19 affected sectors;Tax measures:;-Employers utilizing the grant provided by CEF to support job preservation are exempted from paying contributions on supported net salaries ;-Possibility to defer payment of VAT until issued invoices are settled. -Taxpayers whose business activities are during special circumstances banned, disabled or significantly impeded by decisions of the competent authority may be fully or partially exempted from paying their tax obligations ;The subject has received: ;- HRK 541.125,00 for 167 employees as support for salaries in March 2020;- HRK 666.000,00 for 167 employees as support for salaries in April 2020;- HRK 666.000,00 for 167 employees as support for salaries in May 2020;from Croatian Employment Fund (CEF). Further development remains to be seen.",www.mass-shoes.com,3,1,3,32,25,33,YES,NO,NO,,"MASS – WEB SHOP – cipele, tenisice, obuća, sandali - Mass Shoes","MASS je robna marka moderne, trendi i kvalitetne obuće. Slogan MASS OBUĆA ZA VAS, na najbolji način predstavlja našu misiju, jer je izbor obuće raznovrstan za cijelu obitelj, za svaku prigodu i sva godišnja doba. Zastupnici smo robnih marki renomiranih svjetskih proizvođača, kao i svoje vlastite. Robna marka MASS postala je pojam za kvalitetu obuće i raznoliku ponudu.",,,,,"Mass - web shop - shoes, sneakers, shoes, sandals - Mass Shoes","Mass is a brand brand of modern, trendy and quality footwear. The slogan Mass shoes for you, in the best way, represents our mission, because the choice of footwear is diverse for the whole family, for every occasion and all seasons. We are representatives of the brands of renowned world manufacturers, as well as our own. Mark Mass brand has become a term for shoes quality and a diverse offer.",,
OOO JEWELLERY HOUSE KRISTALL (LIMITED LIABILITY COMPANY),RU,Fédération de Russie,LIPETSK,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the design, manufacture, and retail marketing of jewelry and related fashion accessories",Manufacturing; Retail,,"Engaged in the design, manufacture, and retail marketing of jewelry and related fashion accessories [source: Bureau van Dijk]",kristall-shop.ru,4,4,3,32,26,38,YES,NO,NO,www.kristall-shop.ru,Ювелирный дом «Кристалл» – интернет-магазин ювелирных украшений,"Интернет-магазин «Кристалл» предлагает широкий ассортимент ювелирных изделий из золота и серебра: кольца, серьги, цепочки, подвески.  Гарантия до 12 месяцев. Доставка по всей России.",,Ювелирный дом «Кристалл» – интернет-магазин ювелирных украшений,"Интернет-магазин «Кристалл» предлагает широкий ассортимент ювелирных изделий из золота и серебра: кольца, серьги, цепочки, подвески.  Гарантия до 12 месяцев. Доставка по всей России.",,Crystal Jewelry House-online jewelry store,"The online store ""Crystal"" offers a wide range of jewelry made of gold and silver: rings, earrings, chains, pendants.  Warranty up to 12 months. Delivery throughout Russia.",Crystal Jewelry House-online jewelry store,"The online store ""Crystal"" offers a wide range of jewelry made of gold and silver: rings, earrings, chains, pendants.  Warranty up to 12 months. Delivery throughout Russia."
